address, lat_address;long_address, lat_nearby1;long_nearby2, lat_nearby2;long_nearby2, lat_nearby3;long_nearby3
201 Maple City Drive,40.92604600190214;-90.64926087856293,40.95741204331316;-90.38369961085664,40.94706207394775;-90.33823452425167,40.82547053540201;-91.14084541797638
1950 Douglas Road,41.71959686026458;-88.31917499031077,41.68507573984795;-88.38088591150962,41.76423127860434;-88.36881787331555,41.78094868070382;-88.31737310280307
1820 N Division St,41.37861390785616;-88.42254728078842,41.45733344468111;-88.27192173154799,41.28905866267255;-88.24442736807214,41.53826942978163;-88.19869814207777
100 West Ashland St.,40.62530069433705;-89.46511656045914,40.7053026089413;-89.44505631923676,40.66986067406411;-89.57826554775232,40.709074297509304;-89.59449827671057
8840 Waukegan Rd,42.042434;-87.799546,42.01839337434631;-87.80624091415292,42.06056872214917;-87.84452317049727,42.032261107764384;-87.74688810110098
515 Walnut,37.764053191326994;-89.33030256632264,37.73602473049779;-89.18650774217625,37.78693461599515;-89.02815923094755,37.99619588094881;-89.23604717566226
420 W Maple St.,41.5171049;-87.9796513,41.59835906925249;-88.02249833016049,41.5235499;-87.8506399,41.51951354621406;-88.12499830130037
7535 N Harlem Ave,42.01839337434631;-87.80624091415292,42.042434;-87.799546,41.97223363460947;-87.80749245161358,42.032261107764384;-87.74688810110098
1527 E College Ave,40.50989448048966;-88.95701685551103,40.4611694664365;-88.96145261359379,40.48318678557067;-89.01843220904047,40.62530069433705;-89.46511656045914
2060 West Orchard Rd.,41.8034;-88.37249,41.76423127860434;-88.36881787331555,41.78094868070382;-88.31737310280307,41.848315666570855;-88.33955118792225
2222 Green Bay Rd,42.318737917884675;-87.86658395828454,42.3204620161733;-87.84043250019494,42.34981248851059;-87.87064678969722,42.29698063006278;-87.95606553554535
7501 W Cermak Road,41.84729536054644;-87.81073410292761,41.86447803374293;-87.8113706410204,41.82543206157541;-87.79701320221648,41.883565900202534;-87.80529810491863
51 W. North Avenue,41.90660523187531;-87.90644210835511,41.932251;-87.9400855,41.928346754216264;-87.86439970135694,41.90869910461482;-87.84426663817612
6049 West 95th Street,41.71943230117043;-87.77215312250954,41.71567814277641;-87.78261208259407,41.68929221538116;-87.80838310718536,41.718514961113605;-87.83632099628454
908 East Main Street,38.73166725948719;-88.07678460351212,38.680872923013354;-88.49730439343303,39.00651559298193;-87.72174071994807,38.6898345;-87.5048183
9281 159th St,41.60073396103226;-87.84643827821128,41.619532771711306;-87.84852094965076,41.54604572788319;-87.79340699315071,41.6276142;-87.9318009
364 Orland Square Drive,41.619532771711306;-87.84852094965076,41.60073396103226;-87.84643827821128,41.6276142;-87.9318009,41.68929221538116;-87.80838310718536
3423 Orchard Rd,41.68507573984795;-88.38088591150962,41.65863050332449;-88.44791346413919,41.71959686026458;-88.31917499031077,41.76423127860434;-88.36881787331555
4109 Columbus St,41.38015114984622;-88.83644212596955,41.37133789187073;-89.12657618522638,41.14373364756433;-88.83622653320339,41.55551672373752;-89.0702217420426
7601 W 111th St,41.68929221538116;-87.80838310718536,41.71567814277641;-87.78261208259407,41.718514961113605;-87.83632099628454,41.71943230117043;-87.77215312250954
528 E. Jasper St.,39.60344602191663;-87.68728784508916,39.41830411323393;-87.69666207847487,39.65578457712192;-87.42863015785889,39.50889201640548;-87.38486022503821
413 Sauk Trail,41.48403772544979;-87.70240634679789,41.52749513784631;-87.63523307368308,41.4266014;-87.7512155,41.54604572788319;-87.79340699315071
1920 Court Street,40.55948797444369;-89.61923039987602,40.66986067406411;-89.57826554775232,40.62530069433705;-89.46511656045914,40.709074297509304;-89.59449827671057
5257 Trompeter Road,41.37133789187073;-89.12657618522638,41.55551672373752;-89.0702217420426,41.38015114984622;-88.83644212596955,41.14373364756433;-88.83622653320339
1600 W Reynolds St,40.87310569954798;-88.65745165947374,41.14373364756433;-88.83622653320339,40.50989448048966;-88.95701685551103,40.4611694664365;-88.96145261359379
629 Champaign Avenue,40.307886;-88.171828,40.13693959877484;-88.24267974327375,40.11621919413091;-88.2211232955045,40.11040807704788;-88.23139028587913
10710 Main St,42.482489207334865;-88.3055455744121,42.39295289953766;-88.18411019135986,42.592566384381065;-88.41460950675355,42.3456536208302;-88.27804996515624
1414 East Main Street,39.00651559298193;-87.72174071994807,38.6898345;-87.5048183,38.658887756425685;-87.50624959790683,38.73166725948719;-88.07678460351212
1221 N Caron Rd Unit 700,41.93602901891111;-89.05350959755327,41.93122582781383;-88.77646085429252,41.981432249074885;-88.70707093435858,42.2283215639528;-89.07185965741783
1533-38th Street,41.49480953803576;-90.54737905555317,41.4665994705976;-90.50631047842808,41.489661654397445;-90.47775372862816,41.5379523;-90.5957555
76 S. Weber Rd.,41.6216635;-88.1243821,41.57787387243042;-88.1601275950834,41.576227;-88.165562,41.55574429936104;-88.12642561821463
4638 E. Rockton Road,42.4568096912309;-89.0278440294378,42.523662797701;-89.03438329696655,42.52694104687852;-88.97970950322619,42.365058610873376;-89.03313969077317
9467 W Higgins Rd,41.992027616028594;-87.86293915939495,42.02344867367876;-87.89637027075514,41.97223363460947;-87.80749245161358,42.01839337434631;-87.80624091415292
306 W Rollins Rd,42.37929638645984;-88.09075185659822,42.40826086317455;-88.03142331546042,42.341768213834754;-88.03273473681656,42.39295289953766;-88.18411019135986
